SUJETO;ITEM01;ITEM02;ITEM03;ITEM04;ITEM05;ITEM06;ITEM07;ITEM08;ITEM09;ITEM10;ITEM11;ITEM12;ITEM13;ITEM14;ITEM15;ITEM16;ITEM17;ITEM18;ITEM19;ITEM20;DIM1;DIM2;DIM3;DIM4;TOTAL
1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;9;16;6;10;41
2;2;2;3;2;2;2;2;2;2;3;2;2;3;2;2;2;2;2;1;1;11;18;6;6;41
3;2;3;2;2;1;3;2;2;1;2;2;2;2;2;2;2;1;2;2;2;10;16;6;7;39
4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;10;16;6;6;38
5;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;2;8;15;5;7;35
6;2;2;2;1;2;2;3;3;2;2;2;2;2;1;2;2;2;2;2;1;9;18;5;7;39
7;3;1;2;2;1;2;1;2;3;3;2;2;1;2;2;1;1;2;2;2;9;16;5;7;37
8;3;2;1;2;1;2;2;1;2;1;2;2;2;1;2;2;2;1;2;1;9;14;5;6;34
9;2;1;1;2;1;2;1;2;2;2;1;2;2;2;2;1;2;2;1;2;7;14;5;7;33
10;2;1;1;2;1;1;2;2;1;1;2;1;2;3;2;2;2;1;2;1;7;12;7;6;32
11;1;1;2;1;1;2;1;1;2;2;2;2;1;2;2;1;2;2;2;1;6;13;5;7;31
12;1;1;1;2;2;2;1;2;1;2;2;1;2;1;1;2;1;1;1;2;7;13;4;5;29
13;2;2;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;9;14;6;8;37
14;2;1;2;1;2;2;2;2;2;2;1;1;1;1;1;2;1;1;1;2;8;13;4;5;30
15;1;1;2;2;2;1;1;1;2;1;1;2;2;2;2;2;2;2;2;1;8;11;6;7;32
16;2;2;1;2;1;2;2;2;2;2;1;2;1;1;1;1;1;1;1;2;8;14;3;5;30
17;1;1;2;2;1;1;1;2;2;1;2;1;2;2;2;2;2;2;1;1;7;12;6;6;31
18;2;2;1;1;2;2;1;2;1;1;1;1;2;1;2;1;1;1;2;2;8;11;4;6;29
19;1;1;2;2;1;2;2;1;2;2;1;2;1;2;2;1;2;1;1;2;7;13;5;6;31
20;1;2;1;2;1;2;2;1;1;1;2;1;2;2;1;2;1;2;1;1;7;12;5;5;29
21;2;2;2;1;2;1;1;2;1;2;1;1;2;2;1;1;1;1;1;2;9;11;4;5;29
22;2;1;2;1;2;2;2;1;2;1;1;1;2;1;2;2;2;1;1;1;8;12;5;5;30
23;1;1;1;2;1;1;1;1;2;1;1;2;2;1;1;1;1;1;1;1;6;11;3;4;24
24;2;1;1;2;1;1;2;1;2;1;1;1;1;2;1;2;2;2;1;1;7;10;5;6;28
25;1;1;2;1;2;2;1;2;1;1;2;1;1;1;2;1;1;2;2;1;7;11;4;6;28
26;1;1;1;2;2;1;1;2;1;2;1;2;1;2;1;2;1;2;1;2;7;11;5;6;29
27;2;1;1;2;2;2;2;1;2;1;2;1;1;1;1;1;2;1;2;1;8;12;3;6;29
28;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;2;5;10;3;6;24
29;1;1;1;2;1;1;1;2;1;1;1;2;1;1;1;1;2;1;1;1;6;10;3;5;24
30;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;6;9;3;5;23
